Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
0,0,0.1354454024,-0.0198960497,1.1039442748,0.0822628320,1
1,0,-1.4336996508,-0.0307925151,1.1285261872,-0.0198473190,1
2,0,0.0343064129,-0.0198960497,1.1285261872,-0.0360148676,1
3,0,0.3937110362,-0.0126298487,1.1285261872,-0.0966277698,1
4,0,-0.0519541368,-0.0089967482,1.0793623625,-0.1262255730,1
5,0,-0.7959047988,0.0018997171,1.0793623625,-0.1243250347,1
6,0,-0.1244542797,-0.0126298487,1.0793623625,-0.1582979679,1
7,0,-0.1313344831,-0.0162629492,1.0793623625,-0.1787725386,1
8,0,0.1075805788,-0.0235291503,1.1039442748,-0.3854122971,1
9,0,-0.1498250296,-0.0198960497,1.1039442748,-0.3990857946,1
10,0,0.8602174976,-0.0307925151,1.1285261872,-0.3894760761,1
11,0,-0.8038743620,-0.0235291503,1.1285261872,-0.4071809203,1
12,0,0.0193419706,-0.0235291503,1.1531080995,-0.3689950190,1
13,0,-0.4967592843,-0.0416918166,1.1531080995,-0.3749950119,1
14,0,-0.3607032628,-0.0198960497,1.1531080995,-0.3763344698,1
15,0,1.3303647218,-0.0235291503,1.1531080995,-0.3472036931,1
16,0,0.8120560740,-0.0271594146,1.1285261872,-0.3232491265,1
17,0,-0.3192500375,-0.0162629492,1.1039442748,-0.3518026066,1
18,0,-0.0377063880,-0.0271594146,1.1039442748,-0.2591497420,1
19,0,0.6393342963,-0.0271594146,1.1285261872,-0.3179658894,1
20,0,-2.6847499569,-0.0235291503,1.1285261872,-0.2780351253,1
21,0,-0.1018356112,-0.0344256156,1.1285261872,-0.2726124289,1
22,0,-0.2120048675,-0.0307925151,1.1776900119,-0.2536167754,1
23,0,0.7114904291,-0.0380587161,1.1776900119,-0.2771075588,1
24,0,0.5637380618,-0.0416918166,1.1531080995,-0.3091118457,1
25,0,-0.1160260306,-0.0344256156,1.1531080995,-0.2772989099,1
26,0,-0.7304855204,-0.0380587161,1.1531080995,-0.2849140362,1
27,0,0.0646653103,-0.0416918166,1.1531080995,-0.2735043198,1
28,0,-0.1596293194,-0.0671206840,1.1776900119,-0.2748989127,1
29,0,-1.1617309395,-0.0598544830,1.1776900119,-0.2843043071,1
30,0,0.5055430141,-0.0671206840,1.1776900119,-0.2738189140,1
31,0,-0.3004728101,-0.0707537845,1.1776900119,-0.2609108210,1
32,0,0.6240258438,-0.0707537845,1.1776900119,-0.3272545272,1
33,0,0.5571445394,-0.0707537845,1.1776900119,-0.3188902127,1
34,0,-1.0951362987,-0.0780199855,1.1776900119,-0.3381161361,1
35,0,0.3506237626,-0.0816502499,1.1776900119,-0.3282339855,1
36,0,-0.1187207827,-0.0816502499,1.1776900119,-0.3879420238,1
37,0,-0.2926752520,-0.0816502499,1.1776900119,-0.3542155768,1
38,0,1.3261505972,-0.0925495514,1.1776900119,-0.3039064464,1
39,0,0.1324066402,-0.1179784188,1.1776900119,-0.3513453099,1
40,0,0.4763594791,-0.1143453183,1.1285261872,-0.3189875098,1
41,0,0.8487504862,-0.1143453183,1.1285261872,-0.3193442662,1
42,0,-1.3322739804,-0.1107122178,1.1776900119,-0.2775745853,1
