,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
0,0,7.320000,0.522594,34.930000,2192602.000000,1
1,0,-83.906667,0.518752,34.950000,2161118.000000,1
2,0,1.440000,0.522594,34.950000,2156133.000000,1
3,0,22.335000,0.525156,34.950000,2137444.000000,1
4,0,-3.575000,0.526437,34.910000,2128318.000000,1
5,0,-46.826667,0.530279,34.910000,2128904.000000,1
6,0,-7.790000,0.525156,34.910000,2118429.000000,1
7,0,-8.190000,0.523875,34.910000,2112116.000000,1
8,0,5.700000,0.521313,34.930000,2048402.000000,1
9,0,-9.265000,0.522594,34.930000,2044186.000000,1
10,0,49.456667,0.518752,34.950000,2047149.000000,1
11,0,-47.290000,0.521313,34.950000,2041690.000000,1
12,0,0.570000,0.521313,34.970000,2053464.000000,1
13,0,-29.435000,0.514909,34.970000,2051614.000000,1
14,0,-21.525000,0.522594,34.970000,2051201.000000,1
15,0,76.790000,0.521313,34.970000,2060183.000000,1
16,0,46.656667,0.520033,34.950000,2067569.000000,1
17,0,-19.115000,0.523875,34.930000,2058765.000000,1
18,0,-2.746667,0.520033,34.930000,2087333.000000,1
19,0,36.615000,0.520033,34.950000,2069198.000000,1
20,0,-156.640000,0.521313,34.950000,2081510.000000,1
21,0,-6.475000,0.517471,34.950000,2083182.000000,1
22,0,-12.880000,0.518752,34.990000,2089039.000000,1
23,0,40.810000,0.516190,34.990000,2081796.000000,1
24,0,32.220000,0.514909,34.970000,2071928.000000,1
25,0,-7.300000,0.517471,34.970000,2081737.000000,1
26,0,-43.023333,0.516190,34.970000,2079389.000000,1
27,0,3.205000,0.514909,34.970000,2082907.000000,1
28,0,-9.835000,0.505943,34.990000,2082477.000000,1
29,0,-68.095000,0.508505,34.990000,2079577.000000,1
30,0,28.836667,0.505943,34.990000,2082810.000000,1
31,0,-18.023333,0.504662,34.990000,2086790.000000,1
32,0,35.725000,0.504662,34.990000,2066334.000000,1
33,0,31.836667,0.504662,34.990000,2068913.000000,1
34,0,-64.223333,0.502100,34.990000,2062985.000000,1
35,0,19.830000,0.500820,34.990000,2066032.000000,1
36,0,-7.456667,0.500820,34.990000,2047622.000000,1
37,0,-17.570000,0.500820,34.990000,2058021.000000,1
38,0,76.545000,0.496977,34.990000,2073533.000000,1
39,0,7.143333,0.488011,34.990000,2058906.000000,1
40,0,27.140000,0.489292,34.950000,2068883.000000,1
41,0,48.790000,0.489292,34.950000,2068773.000000,1
42,0,-78.010000,0.490573,34.990000,2081652.000000,1
43,0,-5.750000,0.489292,34.990000,2088758.000000,1
44,0,-5.323333,0.486730,34.970000,2089505.000000,1
45,0,15.466667,0.489292,34.970000,2094810.000000,1
46,0,28.690000,0.488011,34.990000,2093542.000000,1
47,0,-9.210000,0.484168,34.990000,2091693.000000,1
48,0,12.460000,0.486730,34.990000,2102571.000000,1
49,0,41.833333,0.484168,34.990000,2092072.000000,1
50,0,-22.820000,0.482887,34.990000,2069775.000000,1
51,0,3.930000,0.482887,34.990000,2078836.000000,1
52,0,37.890000,0.484168,34.990000,2082023.000000,1
53,0,15.480000,0.481606,34.990000,2083411.000000,1
54,0,-45.743333,0.479045,34.990000,2079251.000000,1
55,0,-11.555000,0.480326,34.990000,2080786.000000,1
56,0,-38.450000,0.481606,34.990000,2052288.000000,1
57,0,42.740000,0.476483,34.990000,2044374.000000,1
58,0,1.780000,0.471360,34.990000,2054020.000000,1
59,0,36.753333,0.471360,34.990000,2074306.000000,1
