ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
0.0,0.11666666666666663,,,2192649.0,1767084367.706875,1
0.0,5.005,,,2192665.0,1767084367.741875,1
0.0,7.32,0.522594,34.93,2192602.0,1767084367.776875,1
0.0,6.98,,,,1767084367.811875,1
0.0,4.483333333333333,,,2192580.0,1767084367.846875,1
0.0,4.949999999999999,,,2192213.0,1767084367.881875,1
0.0,12.1,,,2191592.0,1767084367.916875,1
0.0,23.525,,,2191294.0,1767084367.951875,1
0.0,33.79333333333333,,,2191318.0,1767084367.986875,1
0.0,36.255,0.521313,34.93,2191510.0,1767084368.021875,1
0.0,35.92,,,2191865.0,1767084368.056875,1
0.0,36.760000000000005,,,,1767084368.091875,1
0.0,39.56,,,2192148.0,1767084368.126875,1
0.0,41.265,,,2192461.0,1767084368.161875,1
0.0,40.91,,,2192829.0,1767084368.196875,1
0.0,42.935,,,2193108.0,1767084368.231875,1
0.0,49.40333333333333,0.521313,34.93,2192670.0,1767084368.266875,1
0.0,43.55,,,2191065.0,1767084368.301875,1
0.0,16.905,,,2188995.0,1767084368.336875,1
0.0,-21.94,,,,1767084368.371875,1
0.0,-64.42,,,2187669.0,1767084368.406875,1
0.0,-89.21000000000001,,,2186382.0,1767084368.441875,1
0.0,-93.75,,,2185861.0,1767084368.476875,1
0.0,-84.565,0.522594,34.93,2185914.0,1767084368.511875,1
0.0,-65.965,,,2186289.0,1767084368.546875,1
0.0,-47.80666666666667,,,2187345.0,1767084368.581875,1
0.0,-45.695,,,2188554.0,1767084368.616875,1
0.0,-50.705,,,2190132.0,1767084368.651875,1
0.0,-55.185,,,2192653.0,1767084368.686875,1
0.0,-57.47666666666667,,,2195128.0,1767084368.721875,1
0.0,-46.995000000000005,0.522594,34.93,,1767084368.756875,1
0.0,-22.47,,,2196531.0,1767084368.791875,1
0.0,9.695,,,2196910.0,1767084368.826875,1
0.0,53.330000000000005,,,2195551.0,1767084368.861875,1
0.0,107.77,,,2194299.0,1767084368.896875,1
0.0,161.41,,,2192001.0,1767084368.931875,1
0.0,206.365,,,2188025.0,1767084368.966875,1
0.0,203.59,0.521313,34.93,2182633.0,1767084369.001875,1
0.0,118.52000000000001,,,,1767084369.036875,1
0.0,17.48,,,2176801.0,1767084369.071875,1
0.0,-59.11,,,2171419.0,1767084369.106875,1
0.0,-95.96333333333332,,,2167265.0,1767084369.141875,1
0.0,-100.35,,,2164153.0,1767084369.176875,1
0.0,-93.32499999999999,,,2162207.0,1767084369.211875,1
0.0,-84.7,,,2161657.0,1767084369.246875,1
0.0,-83.90666666666665,0.518752,34.95,2161118.0,1767084369.281875,1
0.0,-82.80000000000001,,,,1767084369.316875,1
0.0,-68.09,,,2160785.0,1767084369.351875,1
0.0,-47.75,,,2160030.0,1767084369.386875,1
0.0,-32.605,,,2159467.0,1767084369.421875,1
0.0,-19.633333333333333,,,2158466.0,1767084369.456875,1
0.0,-6.3,,,2157659.0,1767084369.491875,1
0.0,1.44,0.522594,34.95,2156133.0,1767084369.526875,1
0.0,4.2299999999999995,,,2154444.0,1767084369.561875,1
0.0,6.95,,,,1767084369.596875,1
0.0,14.08,,,2152494.0,1767084369.631875,1
0.0,20.61,,,2150234.0,1767084369.666875,1
0.0,24.21,,,2146857.0,1767084369.701875,1
0.0,24.783333333333335,,,2142225.0,1767084369.736875,1
0.0,22.335,0.525156,34.95,2137444.0,1767084369.771875,1
0.0,16.17,,,2133371.0,1767084369.806875,1
0.0,6.23,,,2130248.0,1767084369.841875,1
0.0,-6.669999999999999,,,,1767084369.876875,1
0.0,-15.4,,,2128114.0,1767084369.911875,1
0.0,-18.924999999999997,,,2126180.0,1767084369.946875,1
0.0,-22.240000000000002,,,2124829.0,1767084369.981875,1
0.0,-26.133333333333336,0.523875,34.95,2124277.0,1767084370.016875,1
0.0,-21.200000000000003,,,2124678.0,1767084370.051875,1
0.0,-6.27,,,2124921.0,1767084370.086875,1
0.0,12.11,,,2126185.0,1767084370.121875,1
0.0,30.24666666666667,,,2126909.0,1767084370.156875,1
0.0,41.09,,,,1767084370.191875,1
0.0,43.58,,,2128202.0,1767084370.226875,1
0.0,41.44,0.523875,34.91,2129296.0,1767084370.261875,1
0.0,37.615,,,2130775.0,1767084370.296875,1
0.0,33.346666666666664,,,2132021.0,1767084370.331875,1
0.0,26.115000000000002,,,2132623.0,1767084370.366875,1
0.0,15.899999999999999,,,2131996.0,1767084370.401875,1
0.0,6.449999999999999,,,2129978.0,1767084370.436875,1
0.0,0.4733333333333334,,,,1767084370.471875,1
