ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
8.0,-58.5925,,,2075340.0,1600928302.2014945,0
8.0,-22.335,0.343252,34.37,2074524.0,1600928302.2623641,0
8.0,31.095,,,2074089.0,1600928302.3232336,0
8.0,48.3875,,,2074979.5,1600928302.3841033,0
8.0,49.370000000000005,,,2076865.0,1600928302.4449728,0
8.0,56.925,0.365025,34.37,2079284.0,1600928302.5058424,0
8.0,73.7675,,,2081821.0,1600928302.566712,0
8.0,107.9925,,,2084684.5,1600928302.6275816,0
8.0,135.2575,,,2088147.0,1600928302.688451,0
8.0,106.23666666666668,,,2090980.5,1600928302.7493207,0
8.0,38.27,0.348375,34.37,2087978.0,1600928302.8101902,0
8.0,-12.080000000000002,,,2076635.0,1600928302.87106,0
8.0,3.9899999999999998,,,2065542.0,1600928302.9319293,0
8.0,44.6575,,,2057723.0,1600928302.9927988,0
8.0,58.3125,0.348375,34.37,2051449.0,1600928303.0536685,0
8.0,16.9725,,,2047056.0,1600928303.114538,0
8.0,7.952500000000001,,,2041551.0,1600928303.1754076,0
8.0,66.0875,,,2041027.0,1600928303.236277,0
8.0,98.97,0.350937,34.39,2042405.5,1600928303.2971468,0
8.0,79.92333333333333,,,2045703.0,1600928303.3580163,0
8.0,-22.22,,,2049524.5,1600928303.418886,0
8.0,-185.7425,,,2053145.0,1600928303.4797554,0
8.0,-253.32,0.350937,34.39,2057516.5,1600928303.540625,0
8.0,-190.34,,,2065067.0,1600928303.6014946,0
8.0,-130.04000000000002,,,2073058.0,1600928303.6623642,0
8.0,-95.58,,,2079674.0,1600928303.7232337,0
8.0,-74.5875,0.352218,34.39,2082454.0,1600928303.7841032,0
8.0,-59.055,,,2078786.0,1600928303.8449728,0
8.0,-50.04666666666666,,,2073503.5,1600928303.9058423,0
8.0,-48.9475,,,2067200.0,1600928303.966712,0
8.0,-51.605000000000004,0.35606,34.39,2064017.5,1600928304.0275815,0
8.0,-64.8375,,,2062659.0,1600928304.0884511,0
8.0,-83.105,,,2061952.0,1600928304.1493206,0
8.0,-51.27,,,2059894.0,1600928304.2101903,0
8.0,-3.5675,0.354779,34.37,2058710.5,1600928304.2710598,0
8.0,20.175,,,2058968.0,1600928304.3319294,0
8.0,33.8375,,,2059845.0,1600928304.392799,0
8.0,43.957499999999996,,,2061930.0,1600928304.4536686,0
8.0,50.23666666666666,0.353498,34.37,2065075.0,1600928304.514538,0
8.0,56.8825,,,2068011.0,1600928304.5754075,0
8.0,58.805,,,2071281.0,1600928304.6362772,0
8.0,51.7375,,,2074670.0,1600928304.6971467,0
8.0,43.89,0.35606,34.37,2078292.0,1600928304.7580163,0
8.0,32.105,,,2081512.5,1600928304.8188858,0
8.0,16.782500000000002,,,2083785.0,1600928304.8797555,0
8.0,-2.4375,,,2087037.0,1600928304.940625,0
8.0,-19.3275,0.357341,34.37,2090718.0,1600928305.0014946,0
8.0,-35.416666666666664,,,2093873.5,1600928305.062364,0
8.0,-56.63250000000001,,,2096129.0,1600928305.1232338,0
8.0,-47.6875,,,2099669.0,1600928305.1841033,0
8.0,-4.41,,,2103321.0,1600928305.244973,0
8.0,19.707500000000003,0.359902,34.37,2107218.0,1600928305.3058424,0
8.0,24.9025,,,2111501.0,1600928305.3667119,0
8.0,24.21,,,2116283.0,1600928305.4275815,0
8.0,26.2925,,,2120460.0,1600928305.488451,0
8.0,34.347500000000004,0.361183,34.37,2126109.5,1600928305.5493207,0
8.0,38.865,,,2133731.0,1600928305.6101902,0
8.0,37.25,,,2137100.5,1600928305.6710598,0
8.0,32.1375,,,2138269.0,1600928305.7319293,0
8.0,20.697499999999998,0.365025,34.37,2131211.5,1600928305.792799,0
8.0,12.942499999999999,,,2120673.0,1600928305.8536685,0
8.0,2.1600000000000006,,,2111336.5,1600928305.9145381,0
8.0,-9.055,,,2103196.0,1600928305.9754076,0
8.0,-31.1025,0.368868,34.37,2096960.0,1600928306.036277,0
8.0,-48.6375,,,2089908.0,1600928306.0971467,0
8.0,-19.245,,,2083716.0,1600928306.1580162,0
8.0,22.0125,,,2078613.0,1600928306.218886,0
8.0,36.82666666666666,0.366306,34.34,2075483.5,1600928306.2797554,0
8.0,36.25750000000001,,,2072810.0,1600928306.340625,0
8.0,25.1325,,,2070264.0,1600928306.4014945,0
8.0,12.91,,,2068113.0,1600928306.4623642,0
8.0,4.3625,0.367587,34.34,2067563.0,1600928306.5232337,0
8.0,-3.4325,,,2069560.5,1600928306.5841033,0
8.0,-15.125,,,2071920.0,1600928306.6449728,0
8.0,-21.945,,,2070588.0,1600928306.7058425,0
8.0,-24.095,0.367587,34.34,2059066.0,1600928306.766712,0
8.0,-23.41,,,2046129.0,1600928306.8275814,0
8.0,-25.72,,,2036877.0,1600928306.888451,0
8.0,-38.735,,,2031520.0,1600928306.9493206,0
8.0,-61.067499999999995,0.367587,34.34,2027231.0,1600928307.0101902,0
8.0,-49.905,,,2021091.5,1600928307.0710597,0
8.0,-5.327500000000001,,,2015879.0,1600928307.1319294,0
