ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
8.0,-25.991111111111113,0.204976,34.65,2223433.25,1600927960.14,1
8.0,-64.80888888888887,0.203695,34.65,2209301.6666666665,1600927960.28,1
8.0,25.56888888888889,,,2211995.25,1600927960.42,1
8.0,40.778888888888886,0.206257,34.65,2234914.3333333335,1600927960.56,1
8.0,7.161111111111111,,,2261512.0,1600927960.7,1
8.0,-22.314444444444444,0.203695,34.65,2270545.0,1600927960.84,1
8.0,-42.80444444444444,,,2246892.5,1600927960.98,1
8.0,-5.3744444444444435,0.204976,34.65,2234513.0,1600927961.12,1
8.0,61.43333333333333,0.201133,34.66,2233495.25,1600927961.26,1
8.0,-40.27666666666667,,,2239915.6666666665,1600927961.4,1
8.0,-121.43666666666667,0.19857,34.66,2249917.75,1600927961.54,1
8.0,-47.99777777777778,,,2264606.3333333335,1600927961.68,1
8.0,-15.784444444444444,0.203695,34.66,2270768.25,1600927961.82,1
8.0,-80.69333333333333,,,2260443.6666666665,1600927961.96,1
8.0,-199.49777777777777,0.206257,34.66,2264816.5,1600927962.1,1
8.0,-172.1388888888889,,,2273035.0,1600927962.24,1
8.0,121.28333333333333,0.208819,34.63,2284897.75,1600927962.38,1
8.0,340.4144444444445,0.208819,34.63,2296707.6666666665,1600927962.52,1
8.0,192.6622222222222,,,2311265.75,1600927962.66,1
8.0,78.72999999999999,0.207538,34.63,2322275.3333333335,1600927962.8,1
8.0,17.27888888888889,,,2306834.0,1600927962.94,1
8.0,-22.103333333333335,0.207538,34.63,2299849.3333333335,1600927963.08,1
8.0,-85.19999999999999,,,2301847.0,1600927963.22,1
8.0,-109.13777777777779,0.204976,34.66,2307950.0,1600927963.36,1
8.0,-19.8175,,,2313036.0,1600927963.5,1
8.0,-24.927777777777777,0.204976,34.66,2319193.0,1600927963.64,1
8.0,-66.33777777777779,0.204976,34.66,2324434.25,1600927963.78,1
8.0,-130.63222222222223,,,2311165.0,1600927963.92,1
8.0,-75.86777777777779,0.206257,34.66,2303342.0,1600927964.06,1
8.0,-37.86,,,2301463.0,1600927964.2,1
8.0,48.29777777777778,0.207538,34.63,2303963.75,1600927964.34,1
8.0,162.41999999999996,,,2308510.6666666665,1600927964.48,1
8.0,198.5111111111111,0.208819,34.63,2313307.25,1600927964.62,1
8.0,190.75333333333333,0.2101,34.63,2315910.6666666665,1600927964.76,1
8.0,87.07555555555555,,,2299939.5,1600927964.9,1
8.0,2.2066666666666674,0.2101,34.63,2279099.3333333335,1600927965.04,1
8.0,-42.708888888888886,,,2276780.0,1600927965.18,1
8.0,30.99777777777778,0.2101,34.63,2276830.6666666665,1600927965.32,1
8.0,17.572222222222223,,,2283988.5,1600927965.46,1
8.0,-25.95888888888889,0.204976,34.63,2293212.0,1600927965.6,1
8.0,-59.091111111111104,,,2304366.75,1600927965.74,1
8.0,-65.37555555555556,0.204976,34.63,2301978.0,1600927965.88,1
8.0,-71.89333333333333,0.202414,34.63,2293888.5,1600927966.02,1
8.0,21.555555555555557,,,2294440.6666666665,1600927966.16,1
8.0,20.905555555555555,0.207538,34.61,2297852.25,1600927966.3,1
8.0,18.058888888888887,,,2302726.3333333335,1600927966.44,1
8.0,-11.746666666666666,0.204976,34.61,2301698.75,1600927966.58,1
8.0,-51.44111111111111,,,2301527.3333333335,1600927966.72,1
8.0,-20.92222222222222,0.206257,34.61,2288281.25,1600927966.86,1
8.0,34.485,,,2277994.3333333335,1600927967.0,1
8.0,27.144444444444442,0.204976,34.61,2273417.75,1600927967.14,1
8.0,-19.85111111111111,0.208819,34.65,2272788.0,1600927967.28,1
8.0,-71.70555555555555,,,2276175.0,1600927967.42,1
8.0,-75.46555555555557,0.206257,34.65,2283179.6666666665,1600927967.56,1
8.0,18.263333333333335,,,2285242.75,1600927967.7,1
8.0,33.97111111111111,0.206257,34.65,2282747.0,1600927967.84,1
8.0,37.77666666666667,,,2286476.75,1600927967.98,1
8.0,28.21333333333333,0.204976,34.65,2290678.0,1600927968.12,1
8.0,-36.10444444444444,0.204976,34.63,2298298.75,1600927968.26,1
8.0,-13.03,,,2305685.6666666665,1600927968.4,1
8.0,33.34111111111111,0.206257,34.63,2308781.0,1600927968.54,1
8.0,42.14555555555555,,,2303241.25,1600927968.68,1
8.0,19.596666666666668,0.208819,34.63,2305137.3333333335,1600927968.82,1
8.0,-21.33111111111111,,,2307467.5,1600927968.96,1
8.0,-69.88888888888889,0.203695,34.63,2312582.6666666665,1600927969.1,1
8.0,-21.46,,,2318770.5,1600927969.24,1
8.0,10.733333333333333,0.202414,34.65,2317243.3333333335,1600927969.38,1
8.0,13.153333333333332,0.204976,34.65,2313438.75,1600927969.52,1
8.0,-2.283333333333333,,,2314610.6666666665,1600927969.66,1
8.0,-27.97222222222222,0.203695,34.65,2314841.25,1600927969.8,1
8.0,-59.861111111111114,,,2314672.0,1600927969.94,1
8.0,12.116666666666665,0.204976,34.65,2313804.0,1600927970.08,1
8.0,52.48555555555556,,,2307906.3333333335,1600927970.22,1
8.0,13.852222222222222,0.207538,34.65,2306443.5,1600927970.36,1
8.0,-10.708749999999998,,,2306453.0,1600927970.5,1
8.0,-10.702222222222222,0.208819,34.65,2309884.75,1600927970.64,1
8.0,-43.53111111111111,0.211381,34.65,2315332.0,1600927970.78,1
8.0,-46.387777777777785,,,2313633.25,1600927970.92,1
8.0,27.119999999999997,0.212663,34.65,2311685.3333333335,1600927971.06,1
8.0,33.63666666666667,,,2313757.5,1600927971.2,1
8.0,30.261111111111113,0.213944,34.65,2317295.0,1600927971.34,1
8.0,2.9188888888888886,,,2321379.0,1600927971.48,1
8.0,-28.962222222222223,0.2101,34.65,2324967.3333333335,1600927971.62,1
8.0,-65.16444444444443,0.2101,34.65,2319924.5,1600927971.76,1
8.0,1.5011111111111124,,,2317472.6666666665,1600927971.9,1
8.0,54.03333333333333,0.2101,34.65,2318289.0,1600927972.04,1
8.0,53.06111111111111,,,2321578.6666666665,1600927972.18,1
8.0,31.77666666666666,0.2101,34.65,2324991.0,1600927972.32,1
8.0,-7.504444444444443,,,2326940.3333333335,1600927972.46,1
8.0,-52.96777777777778,0.211381,34.65,2316388.25,1600927972.6,1
8.0,-82.76888888888888,,,2306937.0,1600927972.74,1
8.0,20.00111111111111,0.208819,34.65,2308065.75,1600927972.88,1
8.0,32.81444444444445,0.2101,34.65,2310825.6666666665,1600927973.02,1
8.0,27.41444444444444,,,2315722.0,1600927973.16,1
8.0,11.54888888888889,0.2101,34.66,2321866.3333333335,1600927973.3,1
8.0,-15.72888888888889,,,2318862.75,1600927973.44,1
8.0,-59.85555555555556,0.208819,34.66,2309271.6666666665,1600927973.58,1
8.0,-7.972222222222222,,,2308664.3333333335,1600927973.72,1
8.0,44.55222222222222,0.208819,34.66,2311000.6666666665,1600927973.86,1
8.0,54.31,,,2315745.75,1600927974.0,1
8.0,39.70111111111111,0.207538,34.66,2320600.0,1600927974.14,1
8.0,-19.299999999999997,0.206257,34.65,2325497.5,1600927974.28,1
8.0,-63.330000000000005,,,2314010.0,1600927974.42,1
8.0,-89.16555555555556,0.203695,34.65,2300206.5,1600927974.56,1
8.0,18.562222222222225,,,2295070.6666666665,1600927974.7,1
8.0,63.775555555555556,0.204976,34.65,2293477.5,1600927974.84,1
8.0,63.43,,,2297187.6666666665,1600927974.98,1
8.0,11.242222222222223,0.208819,34.65,2302940.75,1600927975.12,1
8.0,-26.518888888888892,0.211381,34.65,2306403.25,1600927975.26,1
8.0,-53.567777777777785,,,2292267.0,1600927975.4,1
8.0,-6.255555555555556,0.208819,34.65,2285326.6666666665,1600927975.54,1
8.0,88.33555555555556,,,2285588.25,1600927975.68,1
8.0,59.772222222222226,0.207538,34.65,2299246.5,1600927975.82,1
8.0,42.17444444444445,,,2308340.3333333335,1600927975.96,1
8.0,-29.887777777777778,0.2101,34.65,2316642.75,1600927976.1,1
8.0,-86.0311111111111,,,2306927.0,1600927976.24,1
8.0,-98.43444444444445,0.211381,34.65,2294614.0,1600927976.38,1
8.0,26.387777777777774,0.213944,34.65,2290879.0,1600927976.52,1
8.0,104.36111111111111,,,2290766.0,1600927976.66,1
8.0,64.01777777777778,0.215225,34.65,2299761.5,1600927976.8,1
8.0,4.091111111111111,,,2311520.75,1600927976.94,1
8.0,-36.599999999999994,0.213944,34.65,2314578.6666666665,1600927977.08,1
8.0,-75.38222222222221,,,2298383.6666666665,1600927977.22,1
8.0,-17.60111111111111,0.213944,34.65,2289807.25,1600927977.36,1
8.0,45.879999999999995,,,2288043.0,1600927977.5,1
8.0,38.44777777777777,0.215225,34.65,2287656.75,1600927977.64,1
8.0,17.555555555555557,0.215225,34.65,2289565.3333333335,1600927977.78,1
8.0,-20.95111111111111,,,2292674.25,1600927977.92,1
8.0,-61.616666666666674,0.216506,34.65,2286823.0,1600927978.06,1
8.0,-59.26555555555555,,,2267585.5,1600927978.2,1
8.0,27.463333333333335,0.213944,34.66,2261288.0,1600927978.34,1
8.0,41.492222222222225,,,2261033.75,1600927978.48,1
8.0,27.195555555555554,0.213944,34.66,2267262.6666666665,1600927978.62,1
8.0,-5.318888888888889,0.215225,34.66,2278471.0,1600927978.76,1
