Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
0,0,0.6305270433,0.2226409027,0.7272727273,0.3418893198,1
1,0,0.5293371645,0.2200010169,0.7329545455,0.3239935099,1
2,0,0.6240048661,0.2226409027,0.7329545455,0.3211599877,1
3,0,0.6471818886,0.2244012846,0.7329545455,0.3105369795,1
4,0,0.6184421588,0.2252814756,0.7215909091,0.3053496728,1
5,0,0.5704668125,0.2279213614,0.7215909091,0.3056827609,1
6,0,0.6137668226,0.2244012846,0.7215909091,0.2997286696,1
7,0,0.6133231371,0.2235210937,0.7215909091,0.2961402994,1
8,0,0.6287301169,0.2217607117,0.7272727273,0.2599246459,1
9,0,0.6121307322,0.2226409027,0.7272727273,0.2575282308,1
10,0,0.6772656161,0.2200010169,0.7329545455,0.2592124286,1
11,0,0.5699528772,0.2217607117,0.7329545455,0.2561094802,1
12,0,0.62303985,0.2217607117,0.7386363636,0.2628019357,1
13,0,0.5897578897,0.217360444,0.7386363636,0.2617503778,1
14,0,0.598531771,0.2226409027,0.7386363636,0.2615156246,1
15,0,0.7075841265,0.2217607117,0.7386363636,0.2666210802,1
16,0,0.6741598175,0.2208812079,0.7329545455,0.270819354,1
17,0,0.6012049762,0.2235210937,0.7272727273,0.2658150753,1
18,0,0.6193609572,0.2208812079,0.7272727273,0.2820534027,1
19,0,0.6630214618,0.2208812079,0.7329545455,0.2717452934,1
20,0,0.4486603472,0.2217607117,0.7329545455,0.2787435532,1
21,0,0.6152254388,0.219120826,0.7329545455,0.2796939341,1
22,0,0.6081209243,0.2200010169,0.7443181818,0.2830231095,1
23,0,0.6676746137,0.218240635,0.7443181818,0.2789061183,1
24,0,0.6581464671,0.217360444,0.7386363636,0.2732970517,1
25,0,0.6143103374,0.219120826,0.7386363636,0.2788725822,1
26,0,0.5746855231,0.218240635,0.7386363636,0.2775379563,1
27,0,0.6259626284,0.217360444,0.7386363636,0.2795376215,1
28,0,0.6114984804,0.2111997944,0.7443181818,0.2792932053,1
29,0,0.5468756839,0.2129601763,0.7443181818,0.2776448173,1
30,0,0.6543936274,0.2111997944,0.7443181818,0.2794824857,1
31,0,0.6024158683,0.2103196035,0.7443181818,0.2817447562,1
32,0,0.6620342615,0.2103196035,0.7443181818,0.2701173681,1
