ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
3.0,67.52166666666666,0.142194,33.09,,1644481473.815625,0
3.0,80.0,,,,1644481473.990625,0
3.0,50.027272727272724,0.147318,33.09,,1644481474.165625,0
3.0,-4.238181818181818,0.160128,33.07,,1644481474.340625,0
3.0,-36.47,0.14988,33.07,,1644481474.515625,0
3.0,3.0524999999999984,,,,1644481474.690625,0
3.0,0.03818181818181963,0.147318,33.07,,1644481474.865625,0
3.0,165.67818181818183,0.148599,33.07,,1644481475.040625,0
3.0,-38.97363636363636,,,,1644481475.215625,0
3.0,-217.52272727272728,0.147318,33.09,,1644481475.390625,0
3.0,-117.80333333333333,0.144756,33.09,,1644481475.565625,0
3.0,106.39818181818181,,,,1644481475.740625,0
3.0,24.89090909090909,0.143475,33.09,,1644481475.915625,0
3.0,-48.42636363636363,0.142194,33.09,,1644481476.090625,0
3.0,-64.65454545454546,0.140912,33.07,,1644481476.265625,0
3.0,-15.505833333333333,,,,1644481476.440625,0
3.0,14.661818181818182,0.13835,33.07,,1644481476.615625,0
3.0,38.802727272727275,0.137069,33.07,,1644481476.790625,0
3.0,19.195454545454545,,,,1644481476.965625,0
3.0,-49.192727272727275,0.142194,33.07,,1644481477.140625,0
3.0,-6.269166666666666,0.140912,33.11,,1644481477.315625,0
3.0,35.45272727272727,,,,1644481477.490625,0
3.0,13.445454545454544,0.13835,33.11,,1644481477.665625,0
3.0,-19.029090909090908,0.135788,33.11,,1644481477.840625,0
3.0,-26.63818181818182,0.139631,33.11,,1644481478.015625,0
3.0,11.2575,,,,1644481478.190625,0
3.0,9.543636363636363,0.139631,33.09,,1644481478.365625,0
3.0,4.358181818181818,0.139631,33.09,,1644481478.540625,0
3.0,-15.261818181818182,,,,1644481478.715625,0
3.0,-6.587272727272725,0.135788,33.09,,1644481478.890625,0
3.0,6.4175,0.135788,33.09,,1644481479.065625,0
3.0,9.796363636363635,,,,1644481479.240625,0
3.0,-6.909090909090909,0.13835,33.13,,1644481479.415625,0
3.0,-15.30090909090909,0.13835,33.13,,1644481479.590625,0
3.0,14.530909090909091,0.13835,33.13,,1644481479.765625,0
3.0,18.454166666666666,,,,1644481479.940625,0
3.0,11.007272727272728,0.134507,33.13,,1644481480.115625,0
3.0,-14.789090909090909,0.13835,33.09,,1644481480.290625,0
3.0,-28.64363636363636,,,,1644481480.465625,0
3.0,7.004545454545454,0.13835,33.09,,1644481480.640625,0
3.0,21.294166666666666,0.137069,33.09,,1644481480.815625,0
3.0,17.149090909090912,,,,1644481480.990625,0
3.0,1.1918181818181814,0.134507,33.09,,1644481481.165625,0
3.0,-21.72818181818182,0.135788,33.09,,1644481481.340625,0
3.0,-11.758181818181816,0.13835,33.09,,1644481481.515625,0
3.0,18.245833333333334,,,,1644481481.690625,0
3.0,23.234545454545454,0.13835,33.09,,1644481481.865625,0
3.0,11.865454545454547,0.137069,33.09,,1644481482.040625,0
3.0,4.079090909090909,,,,1644481482.215625,0
3.0,-5.430909090909091,0.135788,33.11,,1644481482.390625,0
3.0,-8.384166666666667,0.137069,33.11,,1644481482.565625,0
3.0,2.913636363636364,,,,1644481482.740625,0
3.0,11.701818181818181,0.13835,33.11,,1644481482.915625,0
3.0,8.32,0.134507,33.11,,1644481483.090625,0
3.0,-6.830909090909091,0.135788,33.11,,1644481483.265625,0
3.0,-16.86583333333333,,,,1644481483.440625,0
