ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9.0,6.558,1.437384,34.18,2097205.0,1637402255.3277779,0
9.0,6.792,,,2099015.0,1637402255.4055555,0
9.0,-1.404,,,2101183.0,1637402255.4833333,0
9.0,1.566,1.461719,34.18,2103243.0,1637402255.5611112,0
9.0,9.304,,,2105516.5,1637402255.6388888,0
9.0,13.963999999999999,,,2108015.5,1637402255.7166667,0
9.0,11.402,1.653936,34.18,2110624.0,1637402255.7944446,0
9.0,2.5360000000000005,,,2113461.5,1637402255.8722222,0
9.0,-17.839999999999996,,,2116639.0,1637402255.95,0
9.0,-64.29400000000001,1.451571,34.18,2119695.0,1637402256.0277777,0
9.0,-115.976,,,2120524.5,1637402256.1055555,0
9.0,-103.602,,,2117880.5,1637402256.1833334,0
9.0,-59.83,1.440044,34.18,2117348.0,1637402256.261111,0
9.0,-16.17,,,2117812.5,1637402256.338889,0
9.0,99.81599999999999,,,2117859.0,1637402256.4166667,0
9.0,169.188,,,2118276.0,1637402256.4944444,0
9.0,182.50799999999998,1.43364,34.18,2119824.0,1637402256.5722222,0
9.0,97.082,,,2120779.0,1637402256.65,0
9.0,-38.372,,,2122248.0,1637402256.7277777,0
9.0,-68.768,1.43364,34.18,2124150.0,1637402256.8055556,0
9.0,-99.90799999999999,,,2126066.0,1637402256.8833334,0
9.0,-83.196,,,2128382.0,1637402256.961111,0
9.0,-57.638,1.437483,34.18,2130902.5,1637402257.038889,0
9.0,-47.908,,,2133537.5,1637402257.1166666,0
9.0,-46.8,,,2136161.5,1637402257.1944444,0
9.0,-15.634,1.437483,34.16,2138315.0,1637402257.2722223,0
9.0,6.508,,,2136142.5,1637402257.35,0
9.0,4.95,,,2134305.0,1637402257.4277778,0
9.0,12.382000000000001,1.43364,34.16,2134378.0,1637402257.5055556,0
9.0,7.818,,,2134726.0,1637402257.5833333,0
9.0,0.516,,,2134949.5,1637402257.661111,0
9.0,-2.794,,,2135642.0,1637402257.738889,0
9.0,-3.2920000000000003,1.427236,34.16,2136917.0,1637402257.8166666,0
9.0,-8.559999999999999,,,2137965.5,1637402257.8944445,0
9.0,-11.78,,,2138909.0,1637402257.9722223,0
9.0,-11.472,1.424675,34.16,2140407.0,1637402258.05,0
9.0,-4.254,,,2142104.5,1637402258.1277778,0
9.0,12.206,,,2144413.0,1637402258.2055554,0
9.0,35.83800000000001,1.422113,34.15,2146757.5,1637402258.2833333,0
9.0,56.763999999999996,,,2149178.0,1637402258.3611112,0
9.0,68.526,,,2150959.0,1637402258.4388888,0
9.0,64.19,1.414428,34.15,2149041.5,1637402258.5166667,0
9.0,43.938,,,2147241.0,1637402258.5944445,0
9.0,20.942,,,2147029.5,1637402258.6722221,0
9.0,-17.335,,,2146870.0,1637402258.75,0
9.0,-50.362,1.413148,34.15,2146890.5,1637402258.8277779,0
9.0,-65.622,,,2147427.5,1637402258.9055555,0
9.0,-62.277999999999984,,,2149092.5,1637402258.9833333,0
9.0,-55.028,1.410586,34.15,2154435.5,1637402259.0611112,0
9.0,-59.452,,,2163819.0,1637402259.1388888,0
9.0,-69.25,,,2171015.5,1637402259.2166667,0
9.0,-76.748,1.411867,34.16,2173912.0,1637402259.2944446,0
9.0,-88.13600000000001,,,2176726.5,1637402259.3722222,0
9.0,-51.682,,,2176780.0,1637402259.45,0
9.0,-1.254000000000001,1.409305,34.16,2176000.0,1637402259.5277777,0
9.0,15.963999999999999,,,2173198.0,1637402259.6055555,0
9.0,17.924,,,2168986.0,1637402259.6833334,0
9.0,26.956,1.411867,34.16,2168022.0,1637402259.761111,0
9.0,35.126,,,2167859.0,1637402259.838889,0
9.0,23.740000000000002,,,2167508.5,1637402259.9166667,0
9.0,9.149999999999999,,,2167908.5,1637402259.9944444,0
9.0,-2.3299999999999996,1.418271,34.16,2168579.0,1637402260.0722222,0
9.0,-15.838000000000003,,,2169181.0,1637402260.15,0
9.0,-39.001999999999995,,,2169826.0,1637402260.2277777,0
9.0,-67.63000000000001,1.414428,34.16,2170673.5,1637402260.3055556,0
9.0,-110.18199999999999,,,2172188.5,1637402260.3833334,0
9.0,-72.006,,,2173811.5,1637402260.461111,0
9.0,9.484,1.415709,34.16,2175015.0,1637402260.538889,0
9.0,38.586,,,2174115.0,1637402260.6166666,0
9.0,35.059999999999995,,,2172042.0,1637402260.6944444,0
9.0,47.08,1.418271,34.16,2171554.0,1637402260.7722223,0
9.0,50.808,,,2171959.5,1637402260.85,0
9.0,22.414,,,2172036.0,1637402260.9277778,0
9.0,-13.89,1.418271,34.16,2172489.5,1637402261.0055556,0
9.0,-51.903999999999996,,,2173745.0,1637402261.0833333,0
9.0,-99.99,,,2175197.0,1637402261.161111,0
9.0,-100.24199999999999,,,2176565.0,1637402261.238889,0
9.0,2.5720000000000014,1.418271,34.15,2178009.0,1637402261.3166666,0
9.0,48.438,,,2177985.0,1637402261.3944445,0
9.0,30.162,,,2176145.0,1637402261.4722223,0
9.0,37.694,1.413148,34.15,2175671.5,1637402261.55,0
9.0,47.57600000000001,,,2176820.5,1637402261.6277778,0
9.0,17.362000000000002,,,2177280.0,1637402261.7055554,0
9.0,-21.118000000000002,1.41699,34.15,2177812.5,1637402261.7833333,0
9.0,-75.972,,,2179515.5,1637402261.8611112,0
9.0,-54.878,,,2181219.0,1637402261.9388888,0
9.0,40.212,1.413148,34.15,2183009.0,1637402262.0166667,0
9.0,50.664,,,2183928.0,1637402262.0944445,0
9.0,21.064,,,2182629.0,1637402262.1722221,0
9.0,19.855,,,2182785.0,1637402262.25,0
9.0,5.366,1.418271,34.13,2184136.0,1637402262.3277779,0
9.0,-49.008,,,2184871.0,1637402262.4055555,0
9.0,-113.772,,,2186324.5,1637402262.4833333,0
9.0,-173.96999999999997,1.423394,34.13,2188285.0,1637402262.5611112,0
9.0,-67.316,,,2190980.0,1637402262.6388888,0
