ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
9.0,-3.5549999999999997,,,2234067.0,1637401885.4725695,1
9.0,-3.41,,,,1637401885.492014,1
9.0,-3.24,1.269753,35.89,2233975.0,1637401885.5114584,1
9.0,-3.02,,,,1637401885.5309029,1
9.0,-2.935,,,2233607.0,1637401885.5503473,1
9.0,-3.45,,,,1637401885.5697916,1
9.0,-4.31,,,2233811.0,1637401885.589236,1
9.0,-5.55,,,,1637401885.6086805,1
9.0,-8.0,,,,1637401885.628125,1
9.0,-10.7,,,2233550.0,1637401885.6475694,1
9.0,-12.43,,,,1637401885.667014,1
9.0,-13.96,,,2233827.0,1637401885.6864583,1
9.0,-15.75,,,,1637401885.7059028,1
9.0,-17.18,,,2233875.0,1637401885.7253473,1
9.0,-17.95,,,,1637401885.7447917,1
9.0,-18.44,1.277438,35.89,2233854.0,1637401885.7642362,1
9.0,-17.994999999999997,,,,1637401885.7836804,1
9.0,-15.9,,,2234239.0,1637401885.803125,1
9.0,-13.44,,,,1637401885.8225694,1
9.0,-10.5,,,2234073.0,1637401885.8420138,1
9.0,-6.025,,,,1637401885.8614583,1
9.0,-2.17,,,2232222.0,1637401885.8809028,1
9.0,-0.34,,,,1637401885.9003472,1
9.0,0.75,,,2229525.0,1637401885.9197917,1
9.0,0.76,,,,1637401885.9392362,1
9.0,-0.57,,,2227172.0,1637401885.9586806,1
9.0,-1.82,,,,1637401885.978125,1
9.0,-2.93,,,2225457.0,1637401885.9975696,1
9.0,-4.154999999999999,1.324833,35.89,,1637401886.0170138,1
9.0,-5.42,,,2223964.0,1637401886.0364583,1
9.0,-6.75,,,,1637401886.0559027,1
9.0,-8.58,,,2222997.0,1637401886.0753472,1
9.0,-11.855,,,,1637401886.0947917,1
9.0,-14.9,,,2222092.0,1637401886.114236,1
9.0,-16.33,,,,1637401886.1336806,1
9.0,-17.18,,,2220993.0,1637401886.153125,1
9.0,-17.689999999999998,,,,1637401886.1725695,1
9.0,-18.28,,,2220183.0,1637401886.192014,1
9.0,-19.31,,,,1637401886.2114584,1
9.0,-20.99,,,,1637401886.2309027,1
9.0,-23.875,1.281281,35.89,2219463.0,1637401886.2503471,1
9.0,-25.63,,,,1637401886.2697916,1
9.0,-25.35,,,2218693.0,1637401886.289236,1
9.0,-24.2,,,,1637401886.3086805,1
9.0,-22.95,,,2218122.0,1637401886.328125,1
9.0,-22.735,,,,1637401886.3475695,1
9.0,-24.31,,,2217872.0,1637401886.367014,1
9.0,-25.17,,,,1637401886.3864584,1
9.0,-24.35,,,2217799.0,1637401886.4059029,1
9.0,-18.365,,,,1637401886.4253473,1
9.0,-8.86,,,2217656.0,1637401886.4447916,1
9.0,-2.09,,,,1637401886.464236,1
9.0,3.91,,,2217989.0,1637401886.4836805,1
9.0,12.21,1.273596,35.89,,1637401886.503125,1
9.0,22.37,,,2218180.0,1637401886.5225694,1
9.0,31.74,,,,1637401886.542014,1
9.0,42.97,,,2218195.0,1637401886.5614583,1
9.0,61.42,,,,1637401886.5809028,1
9.0,79.54,,,2217970.0,1637401886.6003473,1
9.0,90.6,,,,1637401886.6197917,1
9.0,100.38,,,2218190.0,1637401886.6392362,1
9.0,110.87,,,,1637401886.6586804,1
9.0,116.03,,,2218105.0,1637401886.678125,1
9.0,116.56,,,,1637401886.6975694,1
9.0,116.66,,,2218372.0,1637401886.7170138,1
9.0,120.025,,,,1637401886.7364583,1
9.0,127.63,1.276157,35.89,2218476.0,1637401886.7559028,1
9.0,132.77,,,,1637401886.7753472,1
9.0,133.75,,,2219208.0,1637401886.7947917,1
9.0,120.38,,,,1637401886.8142362,1
9.0,94.16,,,2219387.0,1637401886.8336806,1
9.0,75.83,,,,1637401886.853125,1
9.0,64.27,,,2218859.0,1637401886.8725696,1
9.0,64.355,,,,1637401886.8920138,1
9.0,69.59,,,2216742.0,1637401886.9114583,1
9.0,62.15,,,,1637401886.9309027,1
9.0,38.88,,,,1637401886.9503472,1
9.0,-19.885,,,2214219.0,1637401886.9697917,1
9.0,-78.69,,,,1637401886.989236,1
9.0,-102.18,1.268472,35.89,2214625.0,1637401887.0086806,1
9.0,-109.91,,,,1637401887.028125,1
9.0,-102.25,,,2217032.0,1637401887.0475695,1
9.0,-91.81,,,,1637401887.067014,1
9.0,-88.53,,,2215679.0,1637401887.0864584,1
9.0,-86.56,,,,1637401887.1059027,1
9.0,-79.84,,,2213248.0,1637401887.1253471,1
9.0,-68.53,,,,1637401887.1447916,1
9.0,-61.67,,,2210599.0,1637401887.164236,1
9.0,-58.7,,,,1637401887.1836805,1
9.0,-60.38,,,2209645.0,1637401887.203125,1
9.0,-67.41,,,,1637401887.2225695,1
9.0,-71.53,,,2211932.0,1637401887.242014,1
9.0,-69.01,1.276157,35.89,,1637401887.2614584,1
9.0,-62.75,,,2212997.0,1637401887.2809029,1
9.0,-51.33,,,,1637401887.3003473,1
9.0,-43.39,,,2213374.0,1637401887.3197916,1
9.0,-41.75,,,,1637401887.339236,1
9.0,-41.7,,,2214319.0,1637401887.3586805,1
9.0,-39.91,,,,1637401887.378125,1
9.0,-33.24,,,2215237.0,1637401887.3975694,1
9.0,-25.77,,,,1637401887.417014,1
9.0,-17.85,,,2217458.0,1637401887.4364583,1
9.0,-9.09,,,,1637401887.4559028,1
9.0,-5.21,,,2219786.0,1637401887.4753473,1
9.0,-5.06,,,,1637401887.4947917,1
9.0,-5.28,1.274876,35.89,2221488.0,1637401887.5142362,1
9.0,-3.8150000000000004,,,,1637401887.5336804,1
9.0,0.08,,,2223141.0,1637401887.553125,1
9.0,3.68,,,,1637401887.5725694,1
9.0,7.28,,,2222357.0,1637401887.5920138,1
9.0,11.870000000000001,,,,1637401887.6114583,1
9.0,15.79,,,,1637401887.6309028,1
9.0,18.27,,,2222463.0,1637401887.6503472,1
9.0,20.74,,,,1637401887.6697917,1
9.0,23.935,,,2222864.0,1637401887.6892362,1
9.0,26.54,,,,1637401887.7086806,1
9.0,28.39,,,2223667.0,1637401887.728125,1
9.0,31.03,,,,1637401887.7475696,1
9.0,37.065,1.273596,35.89,2223515.0,1637401887.7670138,1
9.0,44.07,,,,1637401887.7864583,1
9.0,47.92,,,2222574.0,1637401887.8059027,1
9.0,50.26,,,,1637401887.8253472,1
9.0,50.97,,,2221587.0,1637401887.8447917,1
9.0,50.37,,,,1637401887.864236,1
9.0,50.14,,,2221913.0,1637401887.8836806,1
9.0,50.28,,,,1637401887.903125,1
9.0,50.67,,,2223620.0,1637401887.9225695,1
9.0,50.56,,,,1637401887.942014,1
9.0,50.04,,,2223249.0,1637401887.9614584,1
9.0,49.25,,,,1637401887.9809027,1
9.0,47.81,1.267191,35.89,2222544.0,1637401888.0003471,1
9.0,46.4,,,,1637401888.0197916,1
9.0,45.85,,,2221700.0,1637401888.039236,1
9.0,45.84,,,,1637401888.0586805,1
9.0,46.39,,,2218726.0,1637401888.078125,1
9.0,47.269999999999996,,,,1637401888.0975695,1
9.0,46.44,,,2215872.0,1637401888.117014,1
9.0,43.81,,,,1637401888.1364584,1
9.0,39.56,,,2212292.0,1637401888.1559029,1
9.0,31.5,,,,1637401888.1753473,1
9.0,23.58,,,2217266.0,1637401888.1947916,1
9.0,18.94,,,,1637401888.214236,1
9.0,14.36,,,2214860.0,1637401888.2336805,1
9.0,5.885,1.263348,35.83,,1637401888.253125,1
9.0,-5.46,,,2211502.0,1637401888.2725694,1
9.0,-14.83,,,,1637401888.292014,1
9.0,-24.83,,,2215732.0,1637401888.3114583,1
9.0,-39.245000000000005,,,,1637401888.3309028,1
9.0,-51.69,,,2218879.0,1637401888.3503473,1
9.0,-58.14,,,,1637401888.3697917,1
9.0,-63.02,,,,1637401888.3892362,1
9.0,-67.035,,,2222034.0,1637401888.4086804,1
9.0,-67.99,,,,1637401888.428125,1
9.0,-67.15,,,2222656.0,1637401888.4475694,1
9.0,-65.87,,,,1637401888.4670138,1
9.0,-64.245,,,2223841.0,1637401888.4864583,1
9.0,-63.21,1.260786,35.83,,1637401888.5059028,1
9.0,-62.55,,,2225050.0,1637401888.5253472,1
9.0,-61.5,,,,1637401888.5447917,1
9.0,-58.775,,,2229011.0,1637401888.5642362,1
9.0,-55.27,,,,1637401888.5836806,1
9.0,-52.96,,,2230633.0,1637401888.603125,1
9.0,-50.97,,,,1637401888.6225696,1
9.0,-48.504999999999995,,,2232331.0,1637401888.6420138,1
9.0,-45.81,,,,1637401888.6614583,1
9.0,-43.31,,,2230728.0,1637401888.6809027,1
9.0,-40.14,,,,1637401888.7003472,1
9.0,-35.099999999999994,,,2229016.0,1637401888.7197917,1
9.0,-31.59,,,,1637401888.739236,1
9.0,-31.5,1.276157,35.83,2239280.0,1637401888.7586806,1
9.0,-33.58,,,,1637401888.778125,1
9.0,-40.09,,,2263245.0,1637401888.7975695,1
9.0,-47.25,,,,1637401888.817014,1
9.0,-49.79,,,2276582.0,1637401888.8364584,1
9.0,-48.63,,,,1637401888.8559027,1
9.0,-37.78,,,2281350.0,1637401888.8753471,1
9.0,-19.37,,,,1637401888.8947916,1
9.0,-5.02,,,2279307.0,1637401888.914236,1
9.0,8.13,,,,1637401888.9336805,1
9.0,18.46,,,2274822.0,1637401888.953125,1
9.0,27.380000000000003,,,,1637401888.9725695,1
9.0,31.36,,,2270315.0,1637401888.992014,1
9.0,32.35,1.278719,35.83,,1637401889.0114584,1
9.0,32.83,,,2266783.0,1637401889.0309029,1
9.0,32.644999999999996,,,,1637401889.0503473,1
9.0,31.32,,,2265402.0,1637401889.0697916,1
9.0,29.95,,,,1637401889.089236,1
9.0,28.67,,,2264319.0,1637401889.1086805,1
9.0,27.69,,,,1637401889.128125,1
9.0,27.53,,,2262798.0,1637401889.1475694,1
9.0,27.5,,,,1637401889.167014,1
9.0,27.13,,,2261619.0,1637401889.1864583,1
9.0,25.759999999999998,,,,1637401889.2059028,1
9.0,23.76,,,2260061.0,1637401889.2253473,1
9.0,22.07,,,,1637401889.2447917,1
9.0,20.02,1.271034,35.79,2258448.0,1637401889.2642362,1
9.0,15.975000000000001,,,,1637401889.2836804,1
9.0,11.23,,,2256640.0,1637401889.303125,1
9.0,8.16,,,,1637401889.3225694,1
9.0,5.66,,,,1637401889.3420138,1
9.0,3.4299999999999997,,,2255462.0,1637401889.3614583,1
9.0,2.3,,,,1637401889.3809028,1
9.0,1.78,,,2255121.0,1637401889.4003472,1
9.0,1.14,,,,1637401889.4197917,1
9.0,-0.13999999999999999,,,2254267.0,1637401889.4392362,1
9.0,-1.74,,,,1637401889.4586806,1
9.0,-3.16,,,2253563.0,1637401889.478125,1
9.0,-4.94,,,2251409.0,1637401889.4975696,1
9.0,-8.215,1.271034,35.79,,1637401889.5170138,1
9.0,-11.36,,,2248948.0,1637401889.5364583,1
9.0,-12.75,,,,1637401889.5559027,1
9.0,-13.45,,,,1637401889.5753472,1
9.0,-13.81,,,2246873.0,1637401889.5947917,1
9.0,-14.94,,,,1637401889.614236,1
9.0,-17.06,,,2245488.0,1637401889.6336806,1
9.0,-20.44,,,,1637401889.653125,1
9.0,-26.905,,,2244087.0,1637401889.6725695,1
9.0,-32.71,,,,1637401889.692014,1
9.0,-34.33,,,2243808.0,1637401889.7114584,1
9.0,-32.91,,,,1637401889.7309027,1
9.0,-23.35,1.272315,35.79,2242344.0,1637401889.7503471,1
9.0,-6.94,,,,1637401889.7697916,1
9.0,6.71,,,2241963.0,1637401889.789236,1
9.0,20.24,,,,1637401889.8086805,1
9.0,31.86,,,2241318.0,1637401889.828125,1
9.0,42.57,,,,1637401889.8475695,1
9.0,46.23,,,2240594.0,1637401889.867014,1
9.0,45.14,,,,1637401889.8864584,1
9.0,42.72,,,2239860.0,1637401889.9059029,1
9.0,38.269999999999996,,,,1637401889.9253473,1
9.0,33.56,,,2239832.0,1637401889.9447916,1
9.0,30.17,,,,1637401889.964236,1
9.0,26.57,,,2239447.0,1637401889.9836805,1
9.0,21.299999999999997,1.273596,35.79,,1637401890.003125,1
9.0,16.87,,,2239582.0,1637401890.0225694,1
9.0,14.69,,,,1637401890.042014,1
9.0,13.01,,,2239177.0,1637401890.0614583,1
9.0,11.215,,,,1637401890.0809028,1
9.0,10.11,,,2239561.0,1637401890.1003473,1
9.0,9.82,,,,1637401890.1197917,1
9.0,9.65,,,2240102.0,1637401890.1392362,1
9.0,8.754999999999999,,,,1637401890.1586804,1
9.0,6.5,,,,1637401890.178125,1
9.0,4.06,,,2240155.0,1637401890.1975694,1
9.0,1.36,,,,1637401890.2170138,1
9.0,-2.175,,,2240698.0,1637401890.2364583,1
9.0,-4.65,1.26591,35.77,,1637401890.2559028,1
9.0,-5.8,,,2241097.0,1637401890.2753472,1
9.0,-7.04,,,2240837.0,1637401890.2947917,1
9.0,-9.885,,,,1637401890.3142362,1
9.0,-13.85,,,2240663.0,1637401890.3336806,1
9.0,-16.91,,,,1637401890.353125,1
9.0,-19.84,,,2243362.0,1637401890.3725696,1
9.0,-23.0,,,,1637401890.3920138,1
9.0,-24.4,,,2246118.0,1637401890.4114583,1
9.0,-24.13,,,,1637401890.4309027,1
9.0,-23.31,,,2247301.0,1637401890.4503472,1
9.0,-22.42,,,,1637401890.4697917,1
9.0,-23.49,,,2247308.0,1637401890.489236,1
9.0,-26.14,1.258224,35.77,,1637401890.5086806,1
9.0,-29.85,,,2246418.0,1637401890.528125,1
9.0,-34.44,,,,1637401890.5475695,1
9.0,-33.96,,,2244871.0,1637401890.567014,1
9.0,-28.22,,,,1637401890.5864584,1
9.0,-18.41,,,2243379.0,1637401890.6059027,1
9.0,0.6099999999999999,,,,1637401890.6253471,1
9.0,18.46,,,,1637401890.6447916,1
9.0,26.57,,,2241612.0,1637401890.664236,1
9.0,30.94,,,,1637401890.6836805,1
9.0,32.05,,,2240824.0,1637401890.703125,1
9.0,29.875,,,2240231.0,1637401890.7225695,1
9.0,26.4,,,,1637401890.742014,1
9.0,24.18,1.267191,35.77,2240753.0,1637401890.7614584,1
9.0,22.25,,,,1637401890.7809029,1
9.0,19.744999999999997,,,2241206.0,1637401890.8003473,1
9.0,17.43,,,,1637401890.8197916,1
9.0,16.0,,,,1637401890.839236,1
9.0,14.7,,,2241514.0,1637401890.8586805,1
9.0,13.11,,,,1637401890.878125,1
9.0,12.0,,,2243632.0,1637401890.8975694,1
9.0,11.63,,,,1637401890.917014,1
9.0,11.48,,,2247382.0,1637401890.9364583,1
9.0,11.14,,,,1637401890.9559028,1
9.0,9.82,,,2253066.0,1637401890.9753473,1
9.0,7.8,,,,1637401890.9947917,1
9.0,4.72,1.263348,35.77,2257172.0,1637401891.0142362,1
9.0,-1.495,,,,1637401891.0336804,1
9.0,-8.16,,,2258208.0,1637401891.053125,1
9.0,-11.83,,,,1637401891.0725694,1
9.0,-14.08,,,2273744.0,1637401891.0920138,1
9.0,-13.754999999999999,,,,1637401891.1114583,1
9.0,-10.02,,,2279695.0,1637401891.1309028,1
9.0,-6.27,,,,1637401891.1503472,1
9.0,-2.64,,,2281379.0,1637401891.1697917,1
9.0,1.055,,,,1637401891.1892362,1
9.0,2.77,,,2278545.0,1637401891.2086806,1
9.0,3.09,,,,1637401891.228125,1
9.0,3.18,,,2276064.0,1637401891.2475696,1
9.0,2.6399999999999997,1.247977,35.81,,1637401891.2670138,1
9.0,0.62,,,2272766.0,1637401891.2864583,1
9.0,-2.16,,,,1637401891.3059027,1
9.0,-5.9,,,2269280.0,1637401891.3253472,1
9.0,-11.885,,,,1637401891.3447917,1
