ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
6.0,-29.046000000000003,,,2175889.0,1611470706.3861842,0
6.0,10.702000000000002,,,2177685.0,1611470706.4598684,0
6.0,25.381999999999998,0.542107,32.73,2179882.0,1611470706.5335526,0
6.0,26.284999999999997,,,2179645.0,1611470706.6072369,0
6.0,18.802,,,2175298.0,1611470706.680921,0
6.0,12.510000000000002,0.741934,32.73,2172527.5,1611470706.7546053,0
6.0,10.081999999999999,,,2171751.0,1611470706.8282895,0
6.0,1.0149999999999997,,,2171804.0,1611470706.9019737,0
6.0,-7.294,,,2171536.0,1611470706.975658,0
6.0,-24.482,0.617682,32.73,2172286.5,1611470707.0493422,0
6.0,-19.635,,,2173861.0,1611470707.1230264,0
6.0,35.32000000000001,,,2175657.0,1611470707.1967106,0
6.0,73.03,0.599749,32.73,2177193.5,1611470707.2703948,0
6.0,130.148,,,2179444.0,1611470707.344079,0
6.0,146.5025,,,2177400.0,1611470707.4177632,0
6.0,111.324,,,2173133.0,1611470707.4914474,0
6.0,28.458,0.603592,32.73,2170896.0,1611470707.5651317,0
6.0,-174.14249999999998,,,2170262.0,1611470707.6388159,0
6.0,-493.238,,,2170394.5,1611470707.7125,0
6.0,-479.2780000000001,0.602311,32.73,2170390.5,1611470707.7861843,0
6.0,-265.872,,,2171277.0,1611470707.8598685,0
6.0,-50.3975,,,2173128.5,1611470707.9335527,0
6.0,78.834,0.602311,32.73,2175220.5,1611470708.007237,0
6.0,84.244,,,2177644.0,1611470708.080921,0
6.0,88.56,,,2179873.0,1611470708.1546052,0
6.0,62.27,,,2178092.0,1611470708.2282894,0
6.0,20.648,0.606154,32.73,2174151.0,1611470708.3019736,0
6.0,-16.662,,,2172455.0,1611470708.3756578,0
6.0,-63.2525,,,2172024.5,1611470708.449342,0
6.0,-72.83000000000001,0.602311,32.73,2172211.5,1611470708.5230262,0
6.0,-23.218,,,2172543.0,1611470708.5967104,0
6.0,7.3175,,,2173535.0,1611470708.6703947,0
6.0,31.354000000000003,,,2175390.0,1611470708.7440789,0
6.0,57.71400000000001,0.603592,32.73,2177777.5,1611470708.817763,0
6.0,73.964,,,2180485.5,1611470708.8914473,0
6.0,63.1775,,,2183160.0,1611470708.9651315,0
6.0,41.488,0.603592,32.73,2182777.0,1611470709.0388157,0
6.0,13.77,,,2179202.6666666665,1611470709.1125,0
6.0,-19.8175,,,2177813.0,1611470709.1861842,0
6.0,-2.634,0.606154,32.73,2177504.0,1611470709.2598684,0
6.0,38.348,,,2177961.0,1611470709.3335526,0
6.0,46.052,,,2178626.0,1611470709.4072368,0
6.0,40.6075,,,2180147.0,1611470709.480921,0
6.0,43.333999999999996,0.604873,32.73,2182313.5,1611470709.5546052,0
6.0,45.15599999999999,,,2183963.0,1611470709.6282895,0
6.0,23.9075,,,2185938.5,1611470709.7019737,0
6.0,-2.66,0.607435,32.73,2187392.5,1611470709.775658,0
6.0,-38.024,,,2184561.5,1611470709.849342,0
6.0,-36.715999999999994,,,2183129.0,1611470709.9230263,0
